2012-06-06 18:22:25 - [id=0] Application NewsCasterD v1.0.38  Restarted (192.168.26.73/Ethernet LAN), Startup sequence begun...
2012-06-06 18:22:50 - [id=0] Downloaded XMLNews, 568883 bytes in 6.0 seconds
2012-06-06 18:23:45 - [id=0] Application NewsCasterD v1.0.38  Shutting down
2012-06-06 21:43:58 - [id=0] Application NewsCasterD v1.0.38  Restarted (192.168.245.1/Ethernet LAN), Startup sequence begun...
2012-06-06 21:44:09 - [id=0] Downloaded XMLNews, 537418 bytes in 3.9 seconds
2012-06-06 21:47:11 - [id=0] STATUS: Downloaded 13 bytes of new media content, 0/2 files
2012-06-06 21:48:49 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 21:50:48 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 21:52:58 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 21:54:53 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 21:57:03 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 21:58:59 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:01:10 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:03:07 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:05:17 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:07:14 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:09:26 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:11:23 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:13:32 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:15:28 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:17:39 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:19:38 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:21:49 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:23:41 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:25:51 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:27:49 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-06 22:29:55 - [id=0] Application NewsCasterD v1.0.38  Shutting down
2012-06-07 00:50:43 - [id=0] Application NewsCasterD v1.0.38  Restarted (192.168.245.1/Ethernet LAN), Startup sequence begun...
2012-06-07 00:51:09 - [id=0] Downloaded XMLNews, 568521 bytes in 19.3 seconds
2012-06-07 00:53:56 - [id=0] STATUS: Downloaded 14 bytes of new media content, 0/2 files
2012-06-07 00:55:30 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 00:57:26 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 00:59:36 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 01:01:36 - [id=0] STATUS: Downloaded 50 bytes of new media content, 0/2 files
2012-06-07 01:01:38 - [id=0] Application NewsCasterD v1.0.38  Shutting down
2012-06-07 11:22:38 - [id=0] Application NewsCasterD v1.0.38  Restarted (192.168.26.73/Ethernet LAN), Startup sequence begun...
2012-06-07 11:23:00 - [id=0] Downloaded XMLNews, 570856 bytes in 10.2 seconds
2012-06-07 11:26:54 - [id=0] STATUS: Downloaded 13 bytes of new media content, 0/2 files
2012-06-07 11:28:15 - [id=0] STATUS: Downloaded 47 bytes of new media content, 0/2 files
2012-06-07 11:30:13 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
2012-06-07 11:32:23 - [id=0] STATUS: Downloaded 48 bytes of new media content, 0/2 files
2012-06-07 11:34:23 - [id=0] STATUS: Downloaded 49 bytes of new media content, 0/2 files
